data.1,totale_positivi,dimessi_guariti,deceduti
01/08/20,1001,17090,2075
02/08/20,1034,17102,2075
03/08/20,1051,17106,2076
04/08/20,1065,17111,2077
05/08/20,1067,17150,2077
06/08/20,1097,17178,2077
07/08/20,1215,17242,2078
08/08/20,1228,17287,2083
09/08/20,1240,17333,2083
10/08/20,1257,17336,2083
11/08/20,1300,17356,2085
12/08/20,1333,17376,2092
13/08/20,1385,17406,2094
14/08/20,1470,17447,2095
15/08/20,1560,17476,2096
16/08/20,1607,17507,2096
17/08/20,1634,17526,2096
18/08/20,1688,17530,2098
19/08/20,1661,17615,2099
20/08/20,1789,17645,2100
21/08/20,1865,17683,2102
22/08/20,1992,17714,2104
23/08/20,1989,17862,2104
24/08/20,2048,17919,2104
25/08/20,2119,17964,2107
26/08/20,2158,18063,2116
27/08/20,2221,18131,2117
28/08/20,2253,18232,2119
29/08/20,2345,18290,2120
30/08/20,2345,18399,2120
31/08/20,2387,18422,2120
01/09/20,2460,18444,2122
02/09/20,2556,18510,2123
03/09/20,2614,18567,2123
04/09/20,2780,18671,2126
05/09/20,2877,18758,2130
06/09/20,2939,18875,2130
07/09/20,2943,18940,2130
08/09/20,2914,19072,2132
09/09/20,2937,19137,2135
10/09/20,2926,19295,2135
11/09/20,2964,19427,2138
12/09/20,2940,19586,2141
13/09/20,2967,19700,2142
14/09/20,2983,19737,2144
15/09/20,2984,19849,2146
16/09/20,2990,19997,2151
17/09/20,2964,20132,2151
18/09/20,3009,20261,2153
19/09/20,3045,20406,2158
20/09/20,3093,20527,2162
21/09/20,3134,20589,2162
22/09/20,3143,20696,2165
23/09/20,3155,20832,2167
24/09/20,3272,20961,2169
25/09/20,3336,21089,2173
26/09/20,3432,21208,2174
27/09/20,3490,21307,2176
28/09/20,3621,21359,2176
29/09/20,3671,21448,2177
30/09/20,3732,21541,2178
01/10/20,3965,21748,2183
02/10/20,4027,21871,2189
03/10/20,4112,22058,2193
04/10/20,4235,22195,2194
05/10/20,4401,22259,2194
06/10/20,4526,22319,2198
07/10/20,4754,22464,2200
08/10/20,5083,22620,2206
09/10/20,5474,22821,2209
10/10/20,5832,23017,2216
11/10/20,6088,23197,2218
12/10/20,6289,23323,2219
13/10/20,6655,23435,2226
14/10/20,7182,23565,2226
15/10/20,7608,23728,2237
16/10/20,8138,23895,2244
17/10/20,8740,24064,2247
18/10/20,9425,24170,2256
19/10/20,9845,24253,2255
20/10/20,10256,24319,2268
21/10/20,11433,24550,2282
22/10/20,12608,24681,2301
23/10/20,14034,24798,2308
24/10/20,15621,24931,2317
25/10/20,16972,25036,2329
26/10/20,18047,25087,2332
27/10/20,19517,25131,2344
28/10/20,21600,25180,2355
29/10/20,23626,25247,2371
30/10/20,26547,25321,2388
31/10/20,29179,25373,2401
01/11/20,31414,25421,2418
02/11/20,32933,25437,2427
03/11/20,35166,25471,2458
04/11/20,37536,25517,2478
05/11/20,40719,25560,2516
06/11/20,43937,25612,2543
07/11/20,47657,25682,2568
08/11/20,50970,25725,2574
09/11/20,53162,25735,2595
10/11/20,50250,31362,2643
11/11/20,52235,32413,2689
12/11/20,54755,33419,2727
13/11/20,57288,34454,2764
14/11/20,59705,35563,2816
15/11/20,61506,36525,2845
16/11/20,62698,37277,2867
17/11/20,63071,39928,2967
18/11/20,64306,41613,3019
19/11/20,66582,43052,3057
20/11/20,68687,44349,3123
21/11/20,70747,45789,3190
22/11/20,72456,47005,3221
23/11/20,73727,48237,3258
24/11/20,73354,50709,3353
25/11/20,75138,51509,3429
26/11/20,75152,55403,3501
27/11/20,76888,57025,3561
28/11/20,78572,58756,3644
29/11/20,79711,60201,3677
30/11/20,80665,61216,3711
01/12/20,80997,63312,3818
02/12/20,68792,78230,3887
03/12/20,70603,79905,3982
04/12/20,72929,81204,4065
05/12/20,74958,82674,4173
06/12/20,76804,84235,4210
07/12/20,78301,85237,4261
08/12/20,79748,86822,4374
09/12/20,81018,87950,4403
10/12/20,83137,89880,4551
11/12/20,85093,91699,4659
12/12/20,88132,93648,4769
13/12/20,90699,95141,4801
14/12/20,92528,96115,4827
15/12/20,92690,99108,4992
16/12/20,94225,101313,5069
17/12/20,95779,104069,5161
18/12/20,98014,105938,5268
19/12/20,97816,109856,5382
20/12/20,100089,111400,5434
21/12/20,101474,112551,5481
22/12/20,102578,114379,5631
23/12/20,103326,116872,5747
24/12/20,104022,119901,5859
25/12/20,87385,141454,5953
26/12/20,88842,142487,5986
27/12/20,90021,144593,6038
28/12/20,90942,146385,6107
29/12/20,90365,149426,6298
30/12/20,90023,152642,6410
31/12/20,91073,156263,6539
01/01/21,92582,159469,6629
02/01/21,94121,161049,6675
03/01/21,95159,163342,6763
04/01/21,94956,165177,6813
05/01/21,94228,168881,6988
06/01/21,91299,175322,7114
07/01/21,92176,177998,7157
08/01/21,90950,182506,7263
09/01/21,89451,187023,7345
10/01/21,88813,189784,7389
11/01/21,87540,192734,7427
12/01/21,84725,197517,7593
13/01/21,81970,202065,7684
14/01/21,79825,206185,7785
15/01/21,75353,211662,7859
16/01/21,72371,216500,7932
17/01/21,70640,219554,7978
18/01/21,69083,222062,8025
19/01/21,63171,228769,8187
20/01/21,57469,235761,8256
21/01/21,53557,240568,8364
22/01/21,49850,245398,8439
23/01/21,47541,248645,8531
24/01/21,45706,251408,8559
25/01/21,44519,253085,8602
26/01/21,41787,256470,8695
27/01/21,41345,259235,8757
28/01/21,38964,262136,8809
29/01/21,36965,265067,8862
30/01/21,34677,268087,8922
31/01/21,33945,269309,8931
01/02/21,33820,269905,8970
02/02/21,32044,272226,9046
03/02/21,30360,274482,9103
04/02/21,28704,276972,9165
05/02/21,27926,278393,9190
06/02/21,27217,279870,9253
07/02/21,26970,280585,9281
08/02/21,26930,281049,9299
09/02/21,26330,282285,9364
10/02/21,25971,283441,9395
11/02/21,25618,284471,9426
12/02/21,25409,285402,9460
13/02/21,24929,286542,9489
14/02/21,24814,287163,9498
15/02/21,24810,287397,9509
16/02/21,24253,288550,9551
17/02/21,23378,289847,9621
18/02/21,21986,292251,9651
19/02/21,21487,293375,9683
20/02/21,21787,294301,9701
21/02/21,22085,294710,9712
22/02/21,22284,295011,9721
23/02/21,22297,296039,9742
24/02/21,22332,296878,9763
25/02/21,22949,297537,9791
26/02/21,23439,298198,9814
27/02/21,24032,298867,9837
28/02/21,24519,299281,9847
01/03/21,24910,299488,9852
02/03/21,25224,300380,9874
03/03/21,25764,301095,9891
04/03/21,26601,301725,9911
05/03/21,27440,302366,9936
06/03/21,28292,303036,9953
07/03/21,29068,303474,9968
08/03/21,29514,303773,9980
09/03/21,30210,304656,10009
10/03/21,30788,305625,10023
11/03/21,31674,306394,10045
12/03/21,32550,307421,10074
13/03/21,34062,308567,10098
14/03/21,35006,309202,10106
15/03/21,35324,309715,10116
16/03/21,35713,311143,10200
17/03/21,36442,312546,10259
18/03/21,36938,313775,10295
19/03/21,37613,314994,10318
20/03/21,38333,316298,10338
21/03/21,38954,317253,10348
22/03/21,39174,318000,10362
23/03/21,39083,320005,10414
24/03/21,39128,321974,10442
25/03/21,39183,323755,10467
26/03/21,39356,325644,10500
27/03/21,39231,327511,10517
28/03/21,39649,328486,10528
29/03/21,39644,329209,10538
30/03/21,38667,331264,10590
31/03/21,38697,333516,10625
01/04/21,38618,335200,10653
02/04/21,37999,337357,10682
03/04/21,37503,339384,10714
04/04/21,37467,340581,10738
05/04/21,37472,341208,10755
06/04/21,36986,342186,10770
07/04/21,35537,344679,10837
08/04/21,34139,347294,10861
09/04/21,32918,349465,10899
10/04/21,32535,350888,10913
11/04/21,31807,352459,10941
12/04/21,31687,353155,10952
13/04/21,30559,355124,10994
14/04/21,29442,357298,11018
15/04/21,28332,359470,11041
16/04/21,27479,361206,11064
17/04/21,26643,362958,11088
18/04/21,26444,363902,11104
19/04/21,26522,364314,11111
20/04/21,25455,366283,11139
21/04/21,24593,368219,11159
22/04/21,23755,370093,11183
23/04/21,23307,371556,11203
24/04/21,23219,372597,11226
25/04/21,23312,373283,11235
26/04/21,23507,373613,11245
27/04/21,22844,375088,11281
28/04/21,22519,376358,11299
29/04/21,22255,377540,11316
30/04/21,21892,378677,11330
01/05/21,21776,379687,11350
02/05/21,21740,380037,11365
03/05/21,21923,380214,11369
04/05/21,21014,381828,11385
05/05/21,20176,383399,11397
06/05/21,20035,384383,11404
07/05/21,19629,385408,11414
08/05/21,19128,386440,11420
09/05/21,19026,387031,11423
10/05/21,19036,387266,11425
11/05/21,18278,388424,11442
12/05/21,17635,389542,11460
13/05/21,17111,390525,11469
14/05/21,16735,391348,11475
15/05/21,15894,392524,11483
16/05/21,15616,393077,11485
17/05/21,15510,393354,11487
18/05/21,14481,394677,11499
19/05/21,13620,395863,11507
20/05/21,12646,397122,11515
21/05/21,11791,398245,11521
22/05/21,11296,398970,11525
23/05/21,11150,399246,11528
24/05/21,11055,399489,11530
25/05/21,10531,400170,11532
26/05/21,9704,401244,11540
27/05/21,9377,401807,11546
28/05/21,9043,402325,11551
29/05/21,8761,402798,11558
30/05/21,8710,402998,11559
31/05/21,8666,403101,11560
01/06/21,8137,403727,11569
02/06/21,7752,404284,11572
03/06/21,7700,404397,11574
04/06/21,7417,404796,11579
05/06/21,6990,405352,11580
06/06/21,6880,405542,11580
07/06/21,6819,405640,11581
08/06/21,6507,406078,11585
09/06/21,6327,406377,11592
10/06/21,6185,406603,11596
11/06/21,6068,406794,11599
12/06/21,5930,406998,11600
13/06/21,5920,407095,11600
14/06/21,5880,407154,11600
15/06/21,5716,407392,11600
16/06/21,5609,407582,11601
17/06/21,5507,407745,11601
18/06/21,5385,407939,11601
19/06/21,5285,408096,11602
20/06/21,5212,408194,11603
21/06/21,5200,408214,11603
22/06/21,5052,408452,11609
23/06/21,4896,408655,11608
24/06/21,4827,408762,11608
25/06/21,4770,408854,11608
26/06/21,4706,408953,11611
27/06/21,4712,408989,11612
28/06/21,4716,409005,11612
29/06/21,4608,409148,11615
30/06/21,4575,409233,11615